Trial,Reward,Strategy
315,0,EpsilonGreedy
316,1,EpsilonGreedy
317,0,EpsilonGreedy
318,1,EpsilonGreedy
319,0,EpsilonGreedy
320,1,EpsilonGreedy
321,0,EpsilonGreedy
322,1,EpsilonGreedy
323,0,EpsilonGreedy
324,0,EpsilonGreedy
325,1,EpsilonGreedy
326,0,EpsilonGreedy
327,1,EpsilonGreedy
328,1,EpsilonGreedy
329,0,EpsilonGreedy
330,1,EpsilonGreedy
331,0,EpsilonGreedy
332,0,EpsilonGreedy
333,0,EpsilonGreedy
334,0,EpsilonGreedy
335,0,EpsilonGreedy
336,1,EpsilonGreedy
337,0,EpsilonGreedy
338,0,EpsilonGreedy
339,1,EpsilonGreedy
340,0,EpsilonGreedy
341,0,EpsilonGreedy
342,0,EpsilonGreedy
343,0,EpsilonGreedy
344,1,EpsilonGreedy
345,0,EpsilonGreedy
346,0,EpsilonGreedy
347,0,EpsilonGreedy
348,0,EpsilonGreedy
349,1,EpsilonGreedy
350,0,EpsilonGreedy
351,0,EpsilonGreedy
352,0,EpsilonGreedy
353,0,EpsilonGreedy
354,0,EpsilonGreedy
355,1,EpsilonGreedy
356,1,EpsilonGreedy
357,0,EpsilonGreedy
358,0,EpsilonGreedy
359,0,EpsilonGreedy
360,1,EpsilonGreedy
361,0,EpsilonGreedy
362,1,EpsilonGreedy
363,0,EpsilonGreedy
364,0,EpsilonGreedy
365,0,EpsilonGreedy
366,1,EpsilonGreedy
367,1,EpsilonGreedy
368,0,EpsilonGreedy
369,0,EpsilonGreedy
370,0,EpsilonGreedy
371,1,EpsilonGreedy
372,1,EpsilonGreedy
373,0,EpsilonGreedy
374,0,EpsilonGreedy
375,0,EpsilonGreedy
376,0,EpsilonGreedy
377,0,EpsilonGreedy
378,1,EpsilonGreedy
379,1,EpsilonGreedy
380,1,EpsilonGreedy
381,0,EpsilonGreedy
382,0,EpsilonGreedy
383,0,EpsilonGreedy
384,0,EpsilonGreedy
385,0,EpsilonGreedy
386,0,EpsilonGreedy
387,1,EpsilonGreedy
388,1,EpsilonGreedy
389,0,EpsilonGreedy
390,1,EpsilonGreedy
391,1,EpsilonGreedy
392,0,EpsilonGreedy
393,0,EpsilonGreedy
394,1,EpsilonGreedy
395,0,EpsilonGreedy
396,0,EpsilonGreedy
397,0,EpsilonGreedy
398,0,EpsilonGreedy
399,0,EpsilonGreedy
400,0,EpsilonGreedy
401,1,EpsilonGreedy
402,0,EpsilonGreedy
403,0,EpsilonGreedy
404,0,EpsilonGreedy
405,0,EpsilonGreedy
406,1,EpsilonGreedy
407,0,EpsilonGreedy
408,0,EpsilonGreedy
409,1,EpsilonGreedy
410,0,EpsilonGreedy
411,0,EpsilonGreedy
412,1,EpsilonGreedy
413,0,EpsilonGreedy
414,0,EpsilonGreedy
415,0,EpsilonGreedy
416,1,EpsilonGreedy
417,0,EpsilonGreedy
418,0,EpsilonGreedy
419,0,EpsilonGreedy
420,0,EpsilonGreedy
421,0,EpsilonGreedy
422,0,EpsilonGreedy
423,0,EpsilonGreedy
424,1,EpsilonGreedy
425,1,EpsilonGreedy
426,1,EpsilonGreedy
427,0,EpsilonGreedy
428,0,EpsilonGreedy
429,0,EpsilonGreedy
430,0,EpsilonGreedy
431,1,EpsilonGreedy
432,0,EpsilonGreedy
433,0,EpsilonGreedy
434,1,EpsilonGreedy
435,0,EpsilonGreedy
436,0,EpsilonGreedy
437,0,EpsilonGreedy
438,0,EpsilonGreedy
439,1,EpsilonGreedy
440,0,EpsilonGreedy
441,0,EpsilonGreedy
442,0,EpsilonGreedy
443,1,EpsilonGreedy
444,0,EpsilonGreedy
445,1,EpsilonGreedy
446,0,EpsilonGreedy
447,0,EpsilonGreedy
448,1,EpsilonGreedy
449,0,EpsilonGreedy
450,0,EpsilonGreedy
451,0,EpsilonGreedy
452,1,EpsilonGreedy
453,0,EpsilonGreedy
454,1,EpsilonGreedy
455,1,EpsilonGreedy
456,0,EpsilonGreedy
457,0,EpsilonGreedy
458,0,EpsilonGreedy
459,0,EpsilonGreedy
460,0,EpsilonGreedy
461,1,EpsilonGreedy
462,0,EpsilonGreedy
463,0,EpsilonGreedy
464,0,EpsilonGreedy
465,0,EpsilonGreedy
466,1,EpsilonGreedy
467,1,EpsilonGreedy
468,0,EpsilonGreedy
469,1,EpsilonGreedy
470,0,EpsilonGreedy
471,1,EpsilonGreedy
472,0,EpsilonGreedy
473,0,EpsilonGreedy
474,0,EpsilonGreedy
475,0,EpsilonGreedy
476,0,EpsilonGreedy
477,0,EpsilonGreedy
478,0,EpsilonGreedy
479,0,EpsilonGreedy
480,1,EpsilonGreedy
481,1,EpsilonGreedy
482,0,EpsilonGreedy
483,0,EpsilonGreedy
484,0,EpsilonGreedy
485,0,EpsilonGreedy
486,0,EpsilonGreedy
487,0,EpsilonGreedy
488,0,EpsilonGreedy
489,1,EpsilonGreedy
490,0,EpsilonGreedy
491,1,EpsilonGreedy
492,0,EpsilonGreedy
493,0,EpsilonGreedy
494,1,EpsilonGreedy
495,0,EpsilonGreedy
496,0,EpsilonGreedy
497,0,EpsilonGreedy
498,0,EpsilonGreedy
499,0,EpsilonGreedy
500,1,EpsilonGreedy
501,0,EpsilonGreedy
502,0,EpsilonGreedy
503,0,EpsilonGreedy
504,0,EpsilonGreedy
505,0,EpsilonGreedy
